Download Winning Numbers from www.calottery.com on 8/20/2017 7:36:13 PM for POWERBALL

Draw #      Draw Date           Number_1    Number_2    Number_3    Number_4    Number_5    Powerball
------  ------------------      --------    --------    --------    --------    --------    ---------

456     Sat. Aug 19, 2017          17          19          39          43          68          13     
455     Wed. Aug 16, 2017          9          15          43          60          64          4     
454     Sat. Aug 12, 2017          20          24          26          35          49          19     
453     Wed. Aug 09, 2017          12          30          36          47          62          9     
452     Sat. Aug 05, 2017          11          21          28          33          45          11     
451     Wed. Aug 02, 2017          1          16          54          63          69          18     
450     Sat. Jul 29, 2017          1          28          40          45          48          12     
449     Wed. Jul 26, 2017          7          19          21          42          69          12     
448     Sat. Jul 22, 2017          5          32          44          53          60          9     
447     Wed. Jul 19, 2017          50          51          59          61          63          4     
446     Sat. Jul 15, 2017          9          40          63          64          66          17     
445     Wed. Jul 12, 2017          1          2          18          23          61          9     
444     Sat. Jul 08, 2017          8          10          29          40          59          26     
443     Wed. Jul 05, 2017          4          9          16          54          68          21     
442     Sat. Jul 01, 2017          19          42          45          48          53          16     
441     Wed. Jun 28, 2017          29          37          46          53          68          8     
440     Sat. Jun 24, 2017          10          22          32          36          58          10     
439     Wed. Jun 21, 2017          14          46          61          65          68          13     
438     Sat. Jun 17, 2017          10          13          32          53          62          21     
437     Wed. Jun 14, 2017          5          22          43          57          63          24     
436     Sat. Jun 10, 2017          20          26          32          38          58          3     
435     Wed. Jun 07, 2017          5          21          57          66          69          13     
434     Sat. Jun 03, 2017          3          9          21          41          54          25     
433     Wed. May 31, 2017          4          33          39          46          60          6     
432     Sat. May 27, 2017          5          10          28          55          67          9     
431     Wed. May 24, 2017          28          32          33          38          62          15     
430     Sat. May 20, 2017          5          22          45          47          54          3     
429     Wed. May 17, 2017          4          11          39          45          48          9     
428     Sat. May 13, 2017          17          20          32          63          68          19     
427     Wed. May 10, 2017          29          31          46          56          62          8     
426     Sat. May 06, 2017          11          21          31          41          59          21     
425     Wed. May 03, 2017          17          18          49          59          66          9     
424     Sat. Apr 29, 2017          22          23          24          45          62          5     
423     Wed. Apr 26, 2017          1          15          18          26          51          26     
422     Sat. Apr 22, 2017          21          39          41          48          63          6     
421     Wed. Apr 19, 2017          1          19          37          40          52          15     
420     Sat. Apr 15, 2017          5          22          26          45          61          13     
419     Wed. Apr 12, 2017          8          14          61          63          68          24     
418     Sat. Apr 08, 2017          23          36          51          53          60          15     
417     Wed. Apr 05, 2017          8          20          46          53          54          13     
416     Sat. Apr 01, 2017          9          32          36          44          65          1     
415     Wed. Mar 29, 2017          8          15          31          36          62          11     
414     Sat. Mar 25, 2017          18          31          32          45          48          16     
413     Wed. Mar 22, 2017          2          9          27          29          42          9     
412     Sat. Mar 18, 2017          13          25          44          54          67          5     
411     Wed. Mar 15, 2017          16          30          41          48          53          16     
410     Sat. Mar 11, 2017          1          26          41          50          57          11     
409     Wed. Mar 08, 2017          23          33          42          46          59          4     
408     Sat. Mar 04, 2017          2          18          19          22          63          19     
407     Wed. Mar 01, 2017          10          16          40          52          55          17     
406     Sat. Feb 25, 2017          6          32          47          62          65          19     
405     Wed. Feb 22, 2017          10          13          28          52          61          2     
404     Sat. Feb 18, 2017          3          7          9          31          33          20     
403     Wed. Feb 15, 2017          5          28          33          38          42          19     
402     Sat. Feb 11, 2017          5          9          17          37          64          2     
401     Wed. Feb 08, 2017          14          20          42          49          66          5     
400     Sat. Feb 04, 2017          6          13          16          17          52          25     
399     Wed. Feb 01, 2017          9          43          57          60          64          10     
398     Sat. Jan 28, 2017          12          20          39          49          69          17     
397     Wed. Jan 25, 2017          18          28          62          66          68          22     
396     Sat. Jan 21, 2017          23          25          45          52          67          2     
395     Wed. Jan 18, 2017          9          40          41          53          58          12     
394     Sat. Jan 14, 2017          23          55          59          64          69          13     
393     Wed. Jan 11, 2017          1          3          13          16          43          24     
392     Sat. Jan 07, 2017          3          12          24          37          63          10     
391     Wed. Jan 04, 2017          16          17          29          41          42          4     
390     Sat. Dec 31, 2016          1          3          28          57          67          9     
389     Wed. Dec 28, 2016          16          23          30          44          58          4     
388     Sat. Dec 24, 2016          28          38          42          51          52          21     
387     Wed. Dec 21, 2016          25          33          40          54          68          3     
386     Sat. Dec 17, 2016          1          8          16          40          48          10     
385     Wed. Dec 14, 2016          18          26          37          39          66          15     
384     Sat. Dec 10, 2016          12          21          32          44          66          15     
383     Wed. Dec 07, 2016          41          48          49          53          64          20     
382     Sat. Dec 03, 2016          8          10          26          27          33          22     
381     Wed. Nov 30, 2016          3          14          18          25          45          7     
380     Sat. Nov 26, 2016          17          19          21          37          44          16     
379     Wed. Nov 23, 2016          7          32          41          47          61          3     
378     Sat. Nov 19, 2016          16          24          28          43          61          21     
377     Wed. Nov 16, 2016          28          41          61          63          65          7     
376     Sat. Nov 12, 2016          8          17          20          27          52          24     
375     Wed. Nov 09, 2016          1          25          28          31          54          2     
374     Sat. Nov 05, 2016          21          31          50          51          69          8     
373     Wed. Nov 02, 2016          13          18          37          54          61          5     
372     Sat. Oct 29, 2016          19          20          21          42          48          23     
371     Wed. Oct 26, 2016          2          3          16          48          56          24     
370     Sat. Oct 22, 2016          1          28          33          55          56          22     
369     Wed. Oct 19, 2016          10          16          38          43          63          23     
368     Sat. Oct 15, 2016          23          49          57          64          67          20     
367     Wed. Oct 12, 2016          16          30          34          37          44          16     
366     Sat. Oct 08, 2016          3          54          61          64          68          9     
365     Wed. Oct 05, 2016          8          18          27          29          60          15     
364     Sat. Oct 01, 2016          2          12          50          61          64          1     
363     Wed. Sep 28, 2016          30          38          52          53          62          1     
362     Sat. Sep 24, 2016          7          15          20          29          41          22     
361     Wed. Sep 21, 2016          1          28          63          67          69          17     
360     Sat. Sep 17, 2016          9          19          51          55          62          14     
359     Wed. Sep 14, 2016          10          11          23          28          31          14     
358     Sat. Sep 10, 2016          3          17          49          55          68          8     
357     Wed. Sep 07, 2016          22          23          29          33          55          21     
356     Sat. Sep 03, 2016          7          39          50          59          67          25     
355     Wed. Aug 31, 2016          5          10          24          56          61          12     
354     Sat. Aug 27, 2016          4          32          48          49          63          20     
353     Wed. Aug 24, 2016          9          11          25          64          65          16     
352     Sat. Aug 20, 2016          3          6          21          60          68          24     
351     Wed. Aug 17, 2016          33          44          49          50          52          8     
350     Sat. Aug 13, 2016          38          44          60          64          69          6     
349     Wed. Aug 10, 2016          23          56          61          64          67          12     
348     Sat. Aug 06, 2016          20          33          36          47          52          12     
347     Wed. Aug 03, 2016          9          11          27          66          67          2     
346     Sat. Jul 30, 2016          11          17          21          23          32          5     
345     Wed. Jul 27, 2016          10          47          50          65          68          24     
344     Sat. Jul 23, 2016          5          7          23          35          39          11     
343     Wed. Jul 20, 2016          6          25          35          58          66          5     
342     Sat. Jul 16, 2016          11          17          40          50          62          26     
341     Wed. Jul 13, 2016          3          15          29          54          57          10     
340     Sat. Jul 09, 2016          10          28          32          61          64          12     
339     Wed. Jul 06, 2016          2          24          31          57          66          18     
338     Sat. Jul 02, 2016          10          34          39          59          63          4     
337     Wed. Jun 29, 2016          23          29          37          60          64          6     
336     Sat. Jun 25, 2016          3          27          36          56          69          25     
335     Wed. Jun 22, 2016          14          40          42          43          52          17     
334     Sat. Jun 18, 2016          2          23          41          53          63          11     
333     Wed. Jun 15, 2016          4          22          24          31          33          10     
332     Sat. Jun 11, 2016          20          27          36          41          58          7     
331     Wed. Jun 08, 2016          12          25          37          60          69          20     
330     Sat. Jun 04, 2016          16          20          22          43          64          17     
329     Wed. Jun 01, 2016          23          30          33          40          69          12     
328     Sat. May 28, 2016          6          33          34          58          59          12     
327     Wed. May 25, 2016          11          24          41          59          64          15     
326     Sat. May 21, 2016          5          7          9          23          32          26     
